,PM25,PM25_clean,PM25_clean_outliers,PM10,PM10_clean,PM10_clean_outliers,NO,NO_clean,NO_clean_outliers,NO2,NO2_clean,NO2_clean_outliers,NOx,NOx_clean,NOx_clean_outliers,Ozone,Ozone_clean,Ozone_clean_outliers,NO_std,NO2_std,NOx_std,station_name,station_id,year
0,43.223483356031664,43.107718393653656,42.24256389322713,,,,7.613395877622691,7.6783892508671325,7.311979859925432,15.427119377953913,15.618049684834938,15.316993221316784,21.689814814814877,22.287531201118234,21.770762415148283,24.259477418966924,24.25321179091901,24.26037937996629,8.700658600877478,25.2475197437099,21.2320912531024,"Alandur Bus Depot, Chennai - CPCB",1,2019
1,73.96025391878177,73.80924152062792,73.57710375493927,133.4823829239986,133.30696899176067,132.257676949153,16.800178544131747,16.800651216827845,15.144193462839176,39.98594769855454,40.01076684881599,39.75926782211645,33.0353758775497,33.030046409305875,31.65114026333584,28.336548777816137,28.338705628247777,28.751488486565027,15.488790775781696,40.829175551346644,31.222531055336944,"Arya Nagar, Bahadurgarh - HSPCB",25,2019
2,71.29408966327304,71.65202481780551,72.26814874264285,119.70914294015142,120.20015756614845,121.23061745540076,15.867381620993493,15.885824111822927,15.670134397312031,37.1058663573086,37.125048309178766,37.088209249580984,51.95776694521808,51.99028534250385,51.75610372994769,34.73083003580167,34.73250872065607,35.092286404347384,19.219484544309022,68.53011136699162,50.67599851992812,"Ballygunge, Kolkata - WBPCB",50,2019
3,30.96647635738606,30.965469408393787,30.57228058321485,96.68777357942223,96.65434079511655,95.21298090591277,35.00553849029553,35.237108429889226,34.79567377123518,25.78998720669002,26.67147164563828,26.479534462785992,60.610293228631065,62.3406710861805,61.64816863332453,27.533962714069073,27.758036416842973,28.25191661014552,42.70560210317051,49.61952476380107,61.53005257169735,"Bandra, Mumbai - MPCB",2,2019
4,54.06691005439873,54.168984864915714,54.23691412377889,111.08870845742936,111.198997532973,111.37467967993462,16.074049282110934,16.17541705396013,15.380942688805572,36.483092283288116,36.479711565387724,36.15770641292482,51.57267245402781,51.57232729648991,50.33237689818268,28.85534326156121,28.825201365502654,29.059508124076814,18.842903923352708,66.04926572769976,49.321994201572764,"Belur Math, Howrah - WBPCB",nothing,2019
5,44.40067133457743,44.44261882933799,43.82234761088971,,,,8.48414589403259,8.487696683829622,8.009988842720825,24.664133122484124,24.689492471723877,24.482306399877782,32.69027369324886,32.69795523724257,32.240062995711725,25.897917557555676,25.896159203980215,25.92813350854148,9.711921589291885,44.87950142737203,31.483443793445822,"BWSSB Kadabesanahalli, Bengaluru - CPCB",nothing,2019
6,38.48530268695371,38.499365147916215,38.248649142453004,96.21409214092137,96.32272950077251,95.83955195369023,50.93707254913053,50.939906520876875,50.322308850996954,35.182445773669194,35.18812473560154,34.84928915121578,82.5028008287134,82.49817906598601,81.74452801136988,13.549723093861804,13.549859054120997,13.55554196318294,60.9580655141312,65.47357033996163,81.03885095493659,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",5,2019
7,58.81991289375063,58.83262411347518,58.760468456524144,127.10655737704919,127.1356,126.528535158406,32.16516211061666,32.189304301646324,31.180644036270632,55.55205580805419,55.609274193548444,55.51067332803451,55.90558311345672,55.980553200508936,55.24437063337567,34.71502784810116,33.30539906103284,32.9696914189094,31.233580079033008,55.50595436485412,55.32729875186109,"Chhoti Gwaltoli, Indore - MPPCB",26,2019
8,48.08358446809781,48.076196651102016,47.73202668236213,99.41815896091563,99.37533275687329,98.82590434611397,9.440185971896257,9.587283693455602,8.78874893384736,25.099397343318184,25.08616679054557,24.571935431799915,34.43008178504759,34.43008178504759,33.575609882124795,41.506341248124286,41.51179247226391,41.64646029696603,10.77763509364453,45.81034717711991,32.71831270405031,"Civil Lines,  Ajmer - RSPCB",nothing,2019
9,34.922631251941574,34.892189414166765,34.646459298108546,91.76414861161429,91.84309658943025,91.37470987654365,7.063871653870117,7.047310412982443,6.732235676645373,21.80476343592103,21.81856207813462,21.551149425287395,28.896537296575904,28.90572458543629,28.396291938043923,18.907325307510952,20.089208487706063,20.17789660056635,8.184489432671837,39.67832150788059,27.533899544957197,"Deshpande Nagar, Hubballi - KSPCB",6,2019
10,97.94368545768364,97.78724089471835,97.57317346123102,193.81862085113855,193.74442297558406,192.5852332683145,20.68719687251831,20.6849908368966,19.946078496480247,43.307828413340566,43.29693365375874,43.03515662884325,39.81147800176371,39.78918910695286,39.19010724731875,19.63428884026232,19.636295114780506,19.44823556673699,19.945252008765493,43.03608338989651,39.186576766856156,"Dr. Karni Singh Shooting Range, Delhi - DPCC",7,2019
11,109.52083742987682,109.48884004742763,108.76653901251075,290.9833263246426,290.9541709237334,288.29834246846724,32.40986021797553,32.3890214076513,31.807705610429384,42.47086280056566,42.453905238109485,42.170894538909124,49.091541913913126,49.068422003976686,48.604840434148876,39.14677444093387,39.15931017552484,39.874100934827936,31.806025739084205,42.17873646325402,48.68449150414686,"Dwarka-Sector 8, Delhi - DPCC ",nothing,2019
12,56.418615400452914,56.410450028319815,55.97570572057213,102.54698131709321,102.60126711090437,102.55044540949872,25.69836609336607,25.699746467861708,24.658506370785805,32.26306051691534,32.2644644076701,31.99224169587723,54.452126678069845,54.454422040223996,53.14573439070713,27.58985218903436,27.589396930946283,27.67005844758833,30.118113876035174,58.408231055487896,52.21991837692199,"Fort William, Kolkata - WBPCB",nothing,2019
