Count of site_id,site_id,site_name,NO_flag,NO2_flag,NOx_flag,Ozone_flag,PM10_flag,PM2.5_flag
5,site_5067,Phase-4 GIDC Vatva,1,1,1,1,1,1
4,site_5072,Rishi Nagar Kaithal,1,1,1,1,1,1
5,site_5073,Railway Colony Guwahati,1,1,1,1,1,1
4,site_5081,Sanjay Nagar Ghaziabad,1,1,1,1,1,1
4,site_5082,Indirapuram Ghaziabad,1,1,1,1,1,1
4,site_5083,Loni Ghaziabad,1,1,1,1,1,1
3,site_5101,Belur Math Howrah,1,1,1,1,1,1
3,site_5105,Udyogamandal Eloor Kerala,1,1,1,1,1,1
3,site_5110,Fort William Kolkata,1,1,1,1,1,1
4,site_5111,Jadavpur Kolkata,1,1,1,1,1,1
3,site_5112,Powai Mumbai,1,1,1,1,1,1
4,site_5119,Sion Mumbai,1,1,1,1,1,1
4,site_5121,Knowledge Park V Greater Noida,1,1,1,1,1,1
3,site_5122,Sector-116 Noida,1,1,1,1,1,1
3,site_5123,Sector-1 Noida,1,1,1,1,1,1
3,site_5124,Urban Chamarajanagar,1,1,1,1,1,1
4,site_5126,Rabindra Sarobar Kolkata,1,1,1,1,1,1
4,site_5127,Sector-25 Chandigarh,1,1,1,1,1,1
4,site_5129,Bidhannagar Kolkata,1,1,1,1,1,1
4,site_5238,Ballygunge Kolkata,1,1,1,1,1,1
4,site_5247,T T Nagar Bhopal,1,1,1,1,1,1
4,site_5248,Chhoti Gwaltoli Indore,1,1,1,1,1,1
4,site_5249,Marhatal Jabalpur,1,1,1,1,1,1
3,site_5250,Gole Bazar Katni,1,1,1,1,1,1
3,site_5254,Collector Office Yadgir,1,1,1,1,1,1
3,site_5255,Vijay Nagar Ramanagara,1,1,1,1,1,1
4,site_5258,Ganga Nagar Meerut,1,1,1,1,1,1
4,site_5261,Muradpur Patna,1,1,1,1,1,1
3,site_5262,Rajbansi Nagar Patna,1,1,1,1,1,1
4,site_5263,Samanpura Patna,1,1,1,1,1,1
3,site_5264,Vidayagiri Bagalkot,1,1,1,1,1,1
4,site_5265,Kalyana Nagara Chikkamagaluru,1,1,1,1,1,1
3,site_5266,Vinoba Nagara Shivamogga,1,1,1,1,1,1
3,site_5271,Palayam Kozhikode Kerala,1,1,1,1,1,1
4,site_5273,City Center Gwalior,1,1,1,1,1,1
3,site_5334,Polayathode Kollam Kerala,1,1,1,1,1,1
3,site_5335,Govt. High School Shikarpur Patna,1,1,1,1,1,1
3,site_5336,DRM Office Danapur Patna,1,1,1,1,1,1
3,site_5338,SFTI Kusdihra Gaya,1,1,1,1,1,1
3,site_5339,Mini Secretariat Charkhi Dadri,1,1,1,1,1,1
3,site_5344,Teri Gram Gurugram,1,1,1,1,1,1
3,site_5345,Sector-51 Gurugram,1,1,1,1,1,1
3,site_5370,Buddha Colony Muzaffarpur,1,1,1,1,1,1
3,site_5391,Stuart Hill Madikeri,1,1,1,1,1,1
3,site_5404,Mhada Colony Pune,1,1,1,1,1,1
3,site_5407,Hadapsar Pune,1,1,1,1,1,1
3,site_5409,Revenue Colony-Shivajinagar Pune,1,1,1,1,1,1
3,site_5420,Ashwini Nagar Haveri,1,1,1,1,1,1
3,site_5421,Kadri Mangalore,1,1,1,1,1,1
3,site_5423,Jawahar Nagar Puducherry,1,1,1,1,1,1
3,site_5432,Ramteerth Nagar Belgaum,1,1,1,1,1,1
4,site_5594,Doon University Dehradun,1,1,1,1,1,1
